Men's Freestyle Wrestling; Lightweight 60-66 kg,14
Men's Freestyle Wrestling;  Flyweight -52kg,14
Men's Wrestling; Freestyle Super Heavyweight + 100kg,14
Men's Freestyle Wrestling;  Flyweight 54kg,14
Men's Freestyle Wrestling; Featherweight 57-63 kg,14
Men's freestyle wrestling; Middleweight 74-82 kg,14
Men's Freestyle Wrestling; Lightweight 62-67kg,14
Men's Freestyle Wrestling; Heavyweight +97kg,14
Men's Freestyle Wrestling; Super Heavyweight 96-120 kg,14
Women's Freestyle Wrestling; Flyweight 48 kg,14
Men's Weightlifting; Heavyweight +82.5,17
Men's Weightlifting; Flyweight -54kg,17
Women's Weightlifting; 58kg,17
Men's Weightlifting; Heavyweight +90,17
Men's Weightlifting; Men's Lightweight 64-70 kg,17
Heavyweight (Two-handed),17
Men's Weightlifting; Heavyweight 94 - 105 kg,17
Men's Weightlifting; Heavyweight 90-110 kg,17
Men's Weightlifting; Super Heavyweight +110,17
Men's Weightlifting; Middleweight 67.5-75kg,17
Men's All Around Dumbbell,17
Women's Weightlifting; 48kg,17
Men's Weightlifting; Middle Heavyweight 85-94 kg,17
Men's Weightlifting; Featherweight 56-62 kg,17
Women's Weightlifting; + 75kg,17
Men's Weightlifting; Lightweight 60-67.5kg,17
Men's Weightlifting; Flyweight -52kg,17
Heavyweight One Handed Lift,17
Men's Weightlifting; Super Heavyweight +108,17
Men's Weightlifting; First Heavyweight 91-99kg,17
Men's Weightlifting; First Heavyweight 90-100kg,17
Men's Weightlifting; Middle Heavyweight 82.5-90 kg,17
Women's Weightlifting; 53kg,17
Men's Weightlifting; Heavyweight 100-110 kg,17
Men's Weightlifting; Light Heavyweight 76- 83 kg,17
Men's Weightlifting; Bantamweight 54-59 kg,17
Men's Weightlifting; Bantamweight 52-56kg,17
Men's Weightlifting; Featherweight 56-60kg,17
Men's Weightlifting; Middleweight 69-77 kg,17
Men's Weightlifting; Middleweight 70-76kg,17
Men's Weightlifting; featherweight -60,17
Men's Weightlifting; 99 - 108 kg,17
Men's Weightlifting; Bantamweight  -56kg,17
Men's Weightlifting; Lightweight 62-69 kg,17
Men's Weightlifting; Super Heavyweight + 105kg,17
Men's Weightlifting; Light Heavyweight 77-85 kg,17
Women's Weightlifting; 69kg,17
Women's Weightlifting; 75kg,17
Men's Weightlifting; Featherweight 59-64kg,17
Men's Weightlifting; Middle Heavyweight 83-91 kg,17
Men's Weightlifting; Light Heavyweight 75-82.5kg,17
Women's Weightlifting; 63kg,17
Women's softball,20
Women's Synchronized Swimming Solo,21
Women's Sychronized swimming; team,21
