1,64309
1,5433
5,27491
5,21944
5,67156
5,42743
23,24657
23,17454
23,15517
23,63706
23,35323
23,15518
37,62806
37,38149
37,41686
37,52599
37,45788
37,33430
49,8198
49,17803
49,38696
49,8221
49,30750
49,7350
49,30755
49,19899
49,12927
51,35842
51,58084
51,44938
51,66188
51,5360
51,14950
51,7979
51,21613
51,64436
51,19082
51,53851
51,65164
60,34018
60,61257
60,8861
68,40372
68,22115
68,6547
69,52374
69,26918
69,13028
69,35480
69,30668
69,60086
69,13057
69,45995
69,3424
69,11964
69,12246
69,46651
77,45965
77,14110
77,46027
77,40543
77,49538
77,54046
77,57455
151,17301
151,25583
151,2563
151,36217
151,65498
174,43760
174,22646
190,37659
190,60921
190,26046
245,37242
245,9264
245,62087
263,62306
263,26050
263,18399
268,55812
268,52470
268,58489
268,49859
268,34503
268,34578
268,20188
268,32624
268,7213
268,33405
268,50080
268,57912
274,26809
274,60387
274,10295
276,31850
276,67177
276,25769
276,4977
301,53426
301,866
301,26259
301,55572
341,45482
341,40238
343,13640
343,9820
343,18216
345,15649
345,18758
347,49748
347,10893
387,10631
387,37303
387,64402
387,47784
407,35013
407,55808
407,64199
420,42063
420,14664
420,24878
420,54198
423,1015
423,8239
423,18845
440,25445
440,47708
440,8997
440,51654
454,49625
454,53778
454,20101
454,60568
454,17959
454,16835
454,53990
484,51341
484,63850
492,46481
492,45597
492,57901
492,43252
492,31142
492,16404
492,3135
492,14211
492,1978
492,12690
492,52588
492,14411
536,43152
536,38772
563,16388
563,18290
563,23704
581,7426
581,7311
588,53228
588,10696
588,58201
589,7428
589,56125
589,61115
589,47246
589,25162
591,36699
591,64750
593,12366
593,50103
593,26095
593,8384
595,61566
595,33287
601,54046
601,31157
601,60478
601,42782
607,40248
607,25605
607,34528
607,58027
607,39717
607,67072
608,39673
608,60543
633,1142
633,7786
633,11711
633,30467
633,48693
633,66
633,50686
633,6637
633,66647
633,51010
633,29968
633,37993
695,51846
695,54064
695,46282
695,37735
695,26916
695,22012
695,51997
695,55844
695,39621
734,14743
734,59341
734,42219
747,22801
747,37470
