Iocode,event,medal,medalist
AZE,Weightlifting at the 2012 Summer Olympics – Men's 56 kg,3,Valentin Hristov
CRO,Taekwondo at the 2012 Summer Olympics – Women's 49 kg,3,Lucija Zaninovi?
NED,Swimming at the 2012 Summer Olympics – Women's 50 metre freestyle,1,Ranomi Kromowidjojo
USA,Diving at the 1984 Summer Olympics - Men's 3 metre springboard,1,Greg Louganis
GER,Diving at the 2008 Summer Olympics – Women's synchronized 3 metre springboard,3,Heike Fischer;Ditte Kotzian
GER,Diving at the 2008 Summer Olympics – Men's synchronized 10 metre platform,2,Sascha Klein;Patrick Hausding
RUS,Diving at the 2000 Summer Olympics - Men's 3 metre springboard,3,Dmitri Sautin
JPN,Wrestling at the 2008 Summer Olympics - Women's Freestyle Lightweight,1,Saori Yoshida
GER,Equestrian at the 2008 Summer Olympics - Individual eventing,1,Hinrich Romeike
USA,Swimming at the 2000 Summer Olympics - Men's 4x100 metre freestyle relay,2,Gary Hall; Jr.;Anthony Ervin;Neil Walker;Jason Lezak
ITA,Nordic combined at the 2010 Winter Olympics – Individual normal hill/10 km,3,Alessandro Pittin
USA,Athletics at the 1908 Summer Olympics - Men's high jump,1,Harry Porter
UTA,Shooting at the 1992 Summer Olympics - Men's 10 metre air pistol,2,Sergei Pyzhianov
KEN,Athletics at the 1968 Summer Olympics - Men's 800 metres,2,Wilson Kiprugut
URS,Speed Skating at the 1956 Winter Olympics - Men's 5000m,3,Oleg Goncharenko
ESP,Alpine Skiing at the 1972 Winter Olympics - Men's Slalom,1,Francisco Fernández-Ochoa
USA,Swimming at the 1956 Summer Olympics – Men's 100 metre backstroke,3,Frank McKinney
UTA,Wrestling at the 1992 Summer Olympics - Men's Greco-Roman Welterweight,1,Mnatsakan Iskandarian
FRA,Swimming at the 1968 Summer Olympics – Men's 400 metre freestyle,3,Alain Mosconi
ESP,Athletics at the 1992 Summer Olympics - Men's decathlon,2,Antonio Peñalver
URS,Athletics at the 1980 Summer Olympics - Men's 400 metre hurdles,2,Vasili Arkhipenko
POL,Wrestling at the 1980 Summer Olympics - Men's Greco-Roman Heavyweight,2,Roman Bier?a
ARG,Athletics at the 1924 Summer Olympics - Men's triple jump,2,Luis Brunetto
AUS,Swimming at the 2008 Summer Olympics - Men's 1500 metre freestyle,2,Grant Hackett
BEL,Rowing at the 1984 Summer Olympics - Women's Single Sculls,3,Ann Haesebrouck
YUG,Wrestling at the 1968 Summer Olympics - Men's Greco-Roman Lightweight,2,Stevan Harvat
KAZ,Cycling at the 2000 Summer Olympics - Men's individual road race,2,Alexander Vinokourov
GER,Athletics at the 1992 Summer Olympics - Women's shot put,3,Kathrin Neimke
CUB,Weightlifting at the 1980 Summer Olympics - Men's First Heavyweight 90-100 kg,3,Alberto Blanco Fernandez
TCH,Weightlifting at the 1964 summer Olympics - Men's Middleweight 67.5-75 kg,1,Hans Zdrazila
GBR,Archery at the 1908 Summer Olympics - Women's double National round,3,Beatrice Hill-Lowe
GBR,Athletics at the 1908 Summer Olympics - Men's 400 metres,1,Wyndham Halswelle
AUT,Alpine skiing at the 1952 Winter Olympics - Women's downhill,1,Trude Beiser
FRA,Cycling at the 1968 Summer Olympics - Men's 1000m Time Trial,1,Pierre Trentin
FIN,Wrestling at the 1924 Summer Olympics - Men's Greco-Roman Heavyweight,2,Edil Rosenqvist
URS,Judo at the 1964 Summer Olympics - Lightweight (-68),3,Aron Bogolyubov
FRA,Shooting at the 1900 Summer Olympics - Men's 50 metre pistol,2,Achille Paroche
ARG,Cycling at the 1952 Summer Olympics - Men's sprint,,Antonio Giménez
USA,Cycling at the 1904 Summer Olympics - 5 miles,2,George E. Wiley
USA,Athletics at the 1972 Summer Olympics - Men's Discus Throw,2,Jay Silvester
AUT,Alpine skiing at the 2006 Winter Olympics - Women's Downhill,1,Michaela Dorfmeister
CHN,Gymnastics at the 1992 Summer Olympics – Men's parallel bars,2,Li Jing
GBR,Equestrian at the 1972 Summer Olympics - Jumping; Individual,2,Ann Moore
SWE,Shooting at the 1924 Summer Olympics - Men's 100 metre running deer; double shots,3,Alfred Swahn
FIN,Athletics at the 1920 Summer Olympics - Men's discus throw,1,Elmer Niklander
URS,Rowing at the 1976 Summer Olympics - Women's Single Sculls,3,Yelena Antonova
RUS,Fencing at the 1996 Summer Olympics - Men's Sabre; Individual,1,Stanislav Pozdniakov
JPN,Speed Skating at the 1992 Winter Olympics - Men's 500m,3,Junichi Inoue
CAN,Athletics at the 1932 Summer Olympics - Women's high jump,3,Eva Dawes
ALG,Athletics at the 2000 Summer Olympics - Men's 5000 metres,2,Ali Saidi-Sief
UZB,Wrestling at the 2008 Summer Olympics - Men's Freestyle Welterweight,2,Soslan Tigiev
JPN,Judo at the 1984 Summer Olympics - Men's Extra Lightweight (-60kg),1,Shinji Hosokawa
GER,Canoeing at the 1936 Summer Olympics - Men's K-1 1000 metres,2,Helmut Cämmerer
URS,Judo at the 1980 Summer Olympics - Half-Heavyweight (95kg) Men,2,Tengiz Khubuluri
URS,Boxing at the 1952 Summer Olympics - Welterweight,2,Sergei Scherbakov
USA,Boxing at the 1964 Summer Olympics - Featherweight,3,Charles Brown
USA,Swimming at the 1972 Summer Olympics - Men's 1500 metre freestyle,1,Mike Burton
URS,Athletics at the 1952 Summer Olympics - Women's Shot Put,3,Klavdia Tochonova
KOR,Wrestling at the 1988 Summer Olympics - Men's Greco-Roman Flyweight,3,Jae-Suk Lee
FIN,Canoeing at the 1952 Summer Olympics - Men's K-1 10000 metres,1,Thorvald Stromberg
TCH,Athletics at the 1952 Summer Olympics - Men's Marathon,1,Emil Zátopek
URS,Speed Skating at the 1972 Winter Olympics - Women's 500m,3,Lyudmila Titova
URS,Wrestling at the 1976 Summer Olympics - Men's Greco-Roman Middleweight,2,Vladimir Cheboksarov
AUT,Equestrian at the 1936 Summer Olympics - Dressage; Individual,3,Alois Podhajsky
GDR,Swimming at the 1988 Summer Olympics – Men's 200 metre individual medley,2,Patrick Kühl
ITA,Wrestling at the 1972 Summer Olympics - Men's Greco-Roman Lightweight,3,Gian-Matteo Ranzi
GER,Swimming at the 1904 Summer Olympics - Men's 880 yard freestyle,1,Emil Rausch
FRA,Shooting at the 1996 Summer Olympics - Men's 50 metre rifle; three positions,1,Jean-Pierre Amat
AUS,Athletics at the 1964 Summer Olympics - Women's high jump,2,Michele Brown
NOR,Speed Skating at the 1924 Winter Olympics - Men's 1500m,3,Sigurd Moen
ARG,Cycling at the 2000 Summer Olympics - Men's cross-country,,Ignacio Gili
USA,Speed Skating at the 1976 Winter Olympics - Men's 500m,3,Dan Immerfall
AUS,Swimming at the 1972 Summer Olympics - Women's 100 metre breaststroke,3,Beverley Whitfield
GDR,Athletics at the 1988 Summer Olympics - Women's 100 metres,3,Heike Drechsler
PAN,Athletics at the 1948 Summer Olympics – Men's 100 metres,3,Lloyd LaBeach
DEN,Equestrian at the 1952 Summer Olympics - Dressage; Individual,2,Lis Hartel
ITA,Cross-Country Skiing at the 1988 Winter Olympics - Men's 50km,2,Maurilio De Zolt
ITA,Athletics at the 1948 Summer Olympics - Men's discus throw,1,Adolfo Consolini
JPN,Gymnastics at the 1972 Summer Olympics – Men's parallel bars,2,Shigeru Kasamatsu
MGL,Boxing at the 1992 Summer Olympics - Lightweight,3,Namjil Bayarsaikhan
CZE,Rowing at the 1992 Summer Olympics – Men's Single sculls,2,Vaclav Chalupa
URS,Weightlifting at the 1980 Summer Olympics - Men's Super Heavyweight +110 kg,1,Sultan Rakhmanov
JAM,Athletics at the 2008 Summer Olympics - Women's 400 metres hurdles,1,Melaine Walker
ARM,Wrestling at the 1996 Summer Olympics - Men's Greco-Roman Flyweight,1,Armen Nazaryan
USA,Athletics at the 1996 Summer Olympics - Men's high jump,1,Charles Austin
USA,Athletics at the 1908 Summer Olympics - Men's shot put,1,Ralph Rose
NOR,Cross-Country Skiing at the 2002 Winter Olympics - Men's 50 km classical,3,Odd-Bjørn Hjelmeset
HUN,Athletics at the 1968 Summer Olympics - Men's 50 km Walk,2,Antal Kiss
NED,Swimming at the 1984 Summer Olympics - Women's 200 metre backstroke,1,Jolanda de Rover
AUT,Alpine Skiing at the 1998 Winter Olympics – Men’s Super G,1,Hermann Maier
TCH,Cross Country Skiing at the 1980 Winter Olympics - Women's 5km,3,Kv?toslava Jeriová
FIN,Ski Jumping at the 1980 Winter Olympics - Large Hill,3,Jari Puikkonen
URS,Swimming at the 1968 Summer Olympics – Men's 200 metre breaststroke,2,Vladimir Kosinsky
USA,Athletics at the 1956 Summer Olympics - Men's Decathlon,1,Milt Campbell
USA,Shooting at the 1960 Summer Olympics – Men's 50 metre rifle prone,2,James Enoch Hill
USA,Athletics at the 1976 Summer Olympics - Men's Triple Jump,2,James Butts
NOR,Athletics at the 1984 Summer Olympics - Women's Marathon,2,Grete Waitz
GDR,Speed Skating at the 1976 Winter Olympics - Women's 3000m,2,Andrea Ehrig-Mitscherlich
POL,Athletics at the 1964 Summer Olympics - Women's 200 metres,2,Irena Szewi?ska
WGE,Athletics at the 1968 Summer Olympics - Women's Pentathlon,1,Ingrid Becker
USA,Diving at the 1936 Summer Olympics - Women's 3 metre springboard,3,Dorothy Poynton-Hill
CUB,Boxing at the 1972 Summer Olympics - Light Heavyweight,2,Gilberto Carrillo
NOR,Cross-Country Skiing at the 1956 Winter Olympics - Men's 15km,1,Hallgeir Brenden
FRA,Judo at the 1980 Summer Olympics - Men's Heavyweight  (+95kg,1,Angelo Parisi
USA,Athletics at the 1968 Summer Olympics - Men's 100 metres,3,Charles Greene
JAM,Cycling at the 1980 Summer Olympics - Men's 1000m Time Trial,3,David Weller
GBR,Athletics at the 1956 Summer Olympics - Women's high jump,2,Thelma Hopkins
FRA,Gymnastics at the 1900 Summer Olympics - Men's artistic individual all-around,1,Gustave Sandras
USA,Swimming at the 2012 Summer Olympics – Women's 200 metre breaststroke,1,Rebecca Soni
JPN,Swimming at the 2012 Summer Olympics – Women's 400 metre individual medley,,Miho Takahashi
CHN,Boxing at the 2012 Summer Olympics – Men's light flyweight,1,Zou Shiming
DEN,Shooting at the 2012 Summer Olympics - Men's Skeet,2,Anders Golding
AUS,Canoeing at the 2012 Summer Olympics – Women's slalom K-1,2,Jessica Fox
RUS,Athletics at the 2012 Summer Olympics – Women's shot put,2,Yevgeniya Kolodko
CHN,Athletics at the 2012 Summer Olympics - Women's 20 km Walk,3,Qieyang Shijie
RUS,Volleyball at the 2012 Summer Olympics – Men's volleyball,1,Dmitriy Ilinykh;Dmitriy Muserskiy;Sergey Tetyukhin;Maxim Mikhaylov;Taras Khtey;Aleksandr Volkov;Yury Berezhko;Alexey Obmochaev;Alexander Sokolov;Nikolay Apalikov;Alexander Butko;Sergey Grankin
CHN,Table tennis at the 2012 Summer Olympics – Women's singles,2,Ding Ning
VIE,Swimming at the 2012 Summer Olympics – Women's 400 metre individual medley,,Nguyen Thi Anh Vien
RUS,Canoeing at the 2012 Summer Olympics – Men's C-2 1000 metres,3,Alexey Korovashkov;Ilya Pervukhin
KEN,Athletics at the 2012 Summer Olympics – Men's 800 metres,3,Timothy Kitum
USA,Cycling at the 2012 Summer Olympics – Women's road time trial,1,Kristin Armstrong
USA,Fencing at the 2012 Summer Olympics - Women's team épée,3,Susie Scanlan;Courtney Hurley;Kelley Hurley;Maya Lawrence
GER,Athletics at the 2012 Summer Olympics – Men's pole vault,3,Raphael Holzdeppe
GER,Alpine Skiing at the 1998 Winter Olympics -Women's Giant Slalom,3,Katja Seizinger
CAN,Short Track Speed Skating at the 2002 Winter Olympics - Men's 1500m,3,Marc Gagnon
UTA,Weightlifting at the 1992 Summer Olympics - Men's First Heavyweight  90-100 kg,1,Yuri Fedkin
FRA,Alpine skiing at the 1948 Winter Olympics - Men's combined,1,Henri Oreiller
KOR,Taekwondo at the 2008 Summer Olympics - Women's 67 kg,1,Hwang Kyung-Sun
SWE,Wrestling at the 1932 Summer Olympics - Men's Greco-Roman Light Heavyweight,1,Rudolf Svensson
GBR,Swimming at the 1908 Summer Olympics - Men's 100 metre backstroke,3,Herbert Haresnape
USA,Athletics at the 1996 Summer Olympics - Men's hammer throw,2,Lance Deal
SUI,Fencing at the 1952 Summer Olympics - Men's Épée; Individual,3,Oswald Zappelli
JPN,Speed Skating at the 1992 Winter Olympics - Men's 500m,2,Toshiyuki Kuroiwa
KEN,Athletics at the 1992 Summer Olympics - Men's 3000 metre steeplechase,2,Patrick Sang
ETH,Athletics at the 1992 Summer Olympics - Women's 10000 metres,1,Derartu Tulu
GDR,Boxing at the 1976 Summer Olympics - Welterweight,1,Jochen Bachfeld
HUN,Athletics at the 1896 Summer Olympics - Men's 800 metres,2,Nándor Dáni
SWE,Ski Jumping at the 1952 Winter Olympics - Large Hill,3,Karl Holmström
FRA,Cycling at the 1896 Summer Olympics - Men's 10 kilometres,1,Paul Masson
UGA,Athletics at the 1996 Summer Olympics - Men's 400 metres,3,Davis Kamoga
CAN,Figure Skating at the 1984 Winter Olympics - Men's Singles,2,Brian Orser
GER,Table Tennis at the 1996 Summer Olympics - Men's Singles,3,Jörg Rosskopf
CAN,Boxing at the 1996 Summer Olympics - Heavyweight,2,David Defiagbon
SWE,Cross-country skiing at the 1936 Winter Olympics - Men's 50 km,3,Nils-Joel Englund
CAN,Cycling at the 1996 Summer Olympics - Women's road time trial,3,Clara Hughes
GBR,Athletics at the 1936 Summer Olympics – Men's marathon,2,Ernest Harper
URS,Swimming at the 1976 Summer Olympics - Men's 100 metre breaststroke,3,Arvidas Juozaitis
NOR,Speed Skating at the 1928 Winter Olympics - Men's 500m,3,Roald Larsen
FRA,Judo at the 1996 Summer Olympics - Men's Lightweight (71kg),3,Christophe Gagliano
NOR,Alpine Skiing at the 1952 Winter Olympics - Men's Slalom Men,3,Guttorm Berge
NED,Judo at the 1996 Summer Olympics - Women's Half Middleweight (61kg),3,Jenny Gal
BRA,Athletics at the 1952 Summer Olympics - Men's High Jump,3,José da Conceição
FIN,Cross-Country Skiing at the 1952 Winter Olympics - Men's 50 km,1,Veikko Hakulinen
AUT,Weightlifting at the 1932 Summer Olympics - Men's Lightweight 60-67.5 kg,2,Hans Haas
CHN,Weightlifting at the 1992 Summer Olympics - Men's Bantamweight 52-56 kg,3,Luo Jianming
NOR,Speed Skating at the 1968 Winter Olympics - Men's 1500m,2,Ivar Eriksen
FIN,Speed Skating at the 1964 Winter Olympics -Women's 1000m,3,Kaija Mustonen
GDR,Luge at the 1968 Winter Olympics - Men's Single,2,Thomas Köhler
NED,Speed Skating at the 1968 Winter Olympics - Women's 3000m,3,Stien Kaiser
BUL,Boxing at the 1992 Summer Olympics - Light Flyweight,2,Daniel Petrov
RUS,Biathlon at the 1994 Winter Olympics - Men's 10km Sprint,3,Sergei Tarasov
NOR,Cross Country Skiing at the 1994 Winter Olympics -Men's 10km,1,Bjørn Dæhlie
GER,Ski Jumping at the 1994 Winter Olympics - Large Hill,1,Jens Weissflog
HUN,Canoeing at the 1976 Summer Olympics - Men's K-1 500 metres,2,Zoltán Sztanity
URS,Biathlon at the 1964 Winter Olympics - Men's 20km Individual,1,Vladimir Melanin
NOR,Speed Skating at the 1964 Winter Olympics - Men's 5000m,3,Fred Anton Maier
FRA,Snowboarding at the 2002 Winter Olympics – Women's parallel giant slalom,1,Isabelle Blanc
URS,Cross-Country Skiing at the 1976 Winter Olympics - Men's 15km,2,Yevgeny Belyaev
ITA,Wrestling at the 1908 Summer Olympics - Greco-Roman lightweight,1,Enrico Porro
GDR,Luge at the 1972 Winter Olympics - Women's Singles,1,Anna-Maria Müller
GER,Biathlon at the 1994 Winter Olympics - Men's 10km Sprint,2,Ricco Gross
DEN,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Olaf Meyland-Smith
GBR,Cycling at the 2008 Summer Olympics - Men's team pursuit,1,Ed Clancy;Paul Manning;Bradley Wiggins;Geraint Thomas
MEX,Diving at the 2008 Summer Olympics - Women's Synchronised 10m Platform,3,Tatiana Ortiz;Paola Espinosa
KOR,Gymnastics at the 2008 Summer Olympics - Men's parallel bars,2,Yoo Won-Chul
USA,Basketball at the 2008 Summer Olympics - Men,1,Kobe Bryant
USA,Swimming at the 2008 Summer Olympics - Women's 100 metre backstroke,1,Natalie Coughlin
HUN,Swimming at the 2008 Summer Olympics - Men's 200 metre individual medley,2,László Cseh
GBR,Athletics at the 2000 Summer Olympics – Women's 400 metres,3,Katharine Merry
USA,Rowing at the 1956 Summer Olympics - Men's Single Sculls,3,Jon Kelly
NOR,Cross-Country Skiing at the 1998 Winter Olympics - Men's 50km Freestyle,1,Bjørn Dæhlie
FRA,Equestrian at the 1948 Summer Olympics - Individual Eventing,1,Bernard Chevallier
POL,Shooting at the 1968 Summer Olympics - Men's 25 metre rapid fire pistol,1,Józef Zap?dzki
GBR,Athletics at the 1900 Summer Olympics - Men's high jump,2,Patrick Leahy
USA,Boxing at the 1904 Summer Olympics - Middleweight,2,Benjamin Spradley
JPN,Wrestling at the 1960 Summer Olympics - Men's Freestyle Flyweight,2,Masayuki Matsubara
DEN,Swimming at the 1948 Summer Olympics - Women's 400 metre freestyle,2,Karen Harup
USA,Wrestling at the 1936 Summer Olympics - Men's Freestyle Middleweight,2,Richard Lawrence Voliva
URS,Speed skating at the 1960 Winter Olympics - Men's 500m,3,Rafayel Grach
FIN,Gymnastics at the 1932 Summer Olympics - Men's artistic individual all-around,3,Heikki Savolainen
USA,Athletics at the 1924 Summer Olympics - Men's discus throw,3,Thomas Lieb
MGL,Wrestling at the 1968 Summer Olympics - Men's Freestyle Lightweight,3,Sereeter Danzandarjaa
URS,Canoeing at the 1956 Summer Olympics - Men's K-1 1000 metres,2,Igor Pissarov
FRA,Biathlon at the 2002 Winter Olympics - Men's 12.5 km Pursuit,2,Raphaël Poirée
GBR,Swimming at the 1968 Summer Olympics – Men's 200 metre butterfly,2,Martyn Woodroffe
URS,athletics at the 1952 Summer Olympics - Women's Discus Throw,3,Nina Dumbadze
CHN,Swimming at the 1988 Summer Olympics - Women's 100 metre freestyle,2,Yong Zhuang
URS,Speed Skating at the 1960 Winter Olympics - Women's 1000m,3,Tamara Rylova
USA,Athletics at the 2008 Summer Olympics - Men's 400 metres,1,LaShawn Merritt
CAN,Figure Skating at the 1994 Winter Olympics - Men's Singles,2,Elvis Stojko
TCH,Alpine skiing at the 1984 Winter Olympics - Women's downhill,3,Olga Charvátová
ITA,Athletics at the 1936 Summer Olympics – Men's discus throw,3,Giorgio Oberweger
NOR,Nordic Combined at the 1952 Winter Olympics - Individual,3,Sverre Stenersen
BUL,Rowing at the 1988 Summer Olympics - Women's Single Sculls,3,Magdalena Georgieva
ITA,Cross Country Skiing at the 1992 Winter Olympics -Women's 10km pursuit,2,Stefania Belmondo
SUI,Equestrian at the 1984 Summer Olympics - Jumping; Individual,3,Adelheid Robbiani
GEO,Wrestling at the 2008 Summer Olympics - Men's Freestyle Heavyweight,3,Georgi Gogshelidze
USA,Diving at the 1936 Summer Olympics - Men's 3 metre springboard,3,Alan Greene
USA,Swimming at the 1928 Summer Olympics - Women's 100 metre freestyle,1,Albina Osipowich
USA,Boxing at the 1952 Summer Olympics - Middleweight,1,Floyd Patterson
URS,Gymnastics at the 1956 Summer Olympics – Women's uneven bars,3,Sofia Muratova
GER,Speed Skating at the 2002 Winter Olympics - Men's 5000m,3,Jens Boden
EGY,Weightlifting at the 1948 Summer Olympics - Men's Lightweight 60-67.5 kg,2,Attia Hamouda
GBR,Boxing at the 1956 Summer Olympics - Light Middleweight,3,John McCormack
URS,Athletics at the 1960 Summer Olympics - Women's discus throw,1,Nina Romashkova
KOR,Judo at the 1984 Summer Olympics - Men's Extra Lightweight (-60kg),2,Kim Jae-Yup
CHN,Swimming at the 2008 Summer Olympics - Men's 400 metre freestyle,2,Zhang Lin
HUN,Fencing at the 1980 Summer Olympics - Men's Sabre; Individual,3,Imre Gedõvári
HUN,Fencing at the 1968 Summer Olympics - Men's Foil; Individual,2,Jenö Kamuti
USA,Freestyle skiing at the 2006 Winter Olympics – Men's moguls,3,Toby Dawson
USA,Diving at the 1932 Summer Olympics - Women's 10 metre platform,3,Marion Roper
TCH,Gymnastics at the 1968 Summer Olympics – Women's balance beam,2,V?ra ?áslavská
GER,Nordic Combined at the 1960 Winter Olympics - Individual,1,Georg Thoma
USA,Wrestling at the 1992 Summer Olympics - Men's freestyle Super Heavyweight,1,Bruce Baumgartner
USA,Tennis at the 1992 Summer Olympics - Women's Singles,3,Mary Joe Fernández
DEN,Handball at the 2008 Summer Olympics - Men's tournament,,Hans Lindberg;Michael V. Knudsen;Klavs Bruun Jørgensen;Kasper Søndergaard;Bo Spellerberg;Mikkel Hansen;Lars T. Jørgensen;Kasper Nielsen;Lars Christiansen;Peter Henriksen;Joachim Boldsen;Kasper Hvidt;Jesper Jensen;Jesper Nøddesbo;Lasse Boesen
USA,Gymnastics at the 1992 Summer Olympics – Women's Balance Beam,2,Shannon Miller
GRE,Wrestling at the 1896 Summer Olympics - Men's Greco-Roman Open,2,Georgios Tsitas
USA,Athletics at the 1992 Summer Olympics - Men's long jump,2,Mike Powell
AUS,Cycling at the 1996 Summer Olympics - Women's Points Race,3,Lucy Tyler-Sharman
URS,Boxing at the 1980 Summer Olympics - Heavyweight,2,Piotr Zaev
GRE,Athletics at the 1904 Summer Olympics - Men's discus throw,3,Nikolaos Georgantas
UTA,Shooting at the 1992 Summer Olympics - Women's 25 metre pistol,1,Marina Dobrancheva
IRL,Boxing at the 1956 Summer Olympics - Bantamweight,3,Frederick Gilroy
UTA,Athletics at the 1992 Summer Olympics - Men's hammer throw,3,Igor Nikulin
URS,Cross Country Skiing at the 1956 Winter Olympics - Women's 10km,2,Radia Yeroshina
BUL,Wrestling at the 2008 Summer Olympics - Men's Freestyle Bantamweight,3,Radoslav Velikov
UTA,Athletics at the 1992 Summer Olympics - Women's 3000 metres,1,Yelena Romanova
DEN,Boxing at the 1936 Summer Olympics - Men's welterweight,3,Gerhard Pedersen
FIN,Cross-Country Skiing at the 1960 Winter Olympics - Men's 15km,3,Veikko Hakulinen
GBR,Boxing at the 1908 Summer Olympics - Featherweight,1,Richard Gunn
KOR,Archery at the 1988 Summer Olympics - Women's Individual,3,Yun Young-Sook
GBR,Shooting at the 1912 Summer Olympics - Men's 50 metre rifle; prone,3,Harold Burt
USA,Alpine Skiing at the 1964 Winter Olympics - Women's Slalom,3,Jean Saubert
USA,Athletics at the 1932 Summer Olympics - Men's hammer throw,3,Peter Zaremba
USA,Boxing at the 1988 Summer Olympics - Bantamweight,1,Kennedy McKinney
FRA,Fencing at the 1992 Summer Olympics - Men's Foil; Individual,1,Philippe Omnes
ROU,Gymnastics at the 1996 Summer Olympics – Women's balance beam,3,Gina Gogean
URS,Gymnastics at the 1980 Summer Olympics – Men's artistic individual all-around,1,Alexander Dityatin
BEL,Cycling at the 1908 Summer Olympics - Men's 20 kilometres,3,Joseph Werbrouck
TCH,Athletics at the 1952 Summer Olympics – Men's 5000 metres,1,Emil Zátopek
ITA,Boxing at the 1960 Summer Olympics - Featherweight,1,Francesco Musso
USA,Equestrian at the 1932 Summer Olympics - Jumping; Individual,2,Harry Chamberlin
RUS,Athletics at the 2008 Summer Olympics - Women's Long Jump,2,Tatyana Lebedeva
USA,Speed Skating at the 2002 Winter Olympics - Women's 1000m,1,Chris Witty
GER,Swimming at the 1904 Summer Olympics - Men's 100 yard backstroke,2,Georg Hoffmann
USA,Wrestling at the 1932 Summer Olympics - Men's Freestyle Bantamweight,1,Robert Pearce
SWE,Shooting at the 1948 Summer Olympics - Men's 25 metre rapid fire pistol,3,Sven Lundquist
FIN,Wrestling at the 1920 Summer Olympics - Men's Greco-Roman middleweight,2,Arthur Lindfors
USA,Athletics at the 1900 Summer Olympics - Men's triple jump,3,Lewis Sheldon
GBR,Swimming at the 1992 Summer Olympics - Men's 200 metre breaststroke,3,Nick Gillingham
CAN,Cross-Country Skiing at the 2002 Winter Olympics - Women's 10 km Pursuit  (5 km + 5 km),1,Beckie Scott
USA,Athletics at the 1912 Summer Olympics - Men's hammer throw,3,Clarence Childs
NOR,Speed Skating at the 1936 Winter Olympics - Men's 500m,1,Ivar Ballangrud
ITA,Fencing at the 1992 Summer Olympics - Men's Sabre; Individual,2,Marco Marin
NOR,Ski Jumping at the 1932 Winter Olympics - Large Hill,1,Birger Ruud
GER,Gymnastics at the 1936 Summer Olympics - Men's Floor Exercises,3,Konrad Frey
DEN,Wrestling at the 1912 Summer Olympics - Men's Greco-Roman heavyweight,3,Søren Marinus Jensen
NOR,Speed Skating at the 2002 Winter Olympics - Men's 1500m,3,Ådne Søndrål
AUT,Alpine skiing at the 1998 Winter Olympics - Men's Giant Slalom,2,Stephan Eberharter
JPN,Swimming at the 1936 Summer Olympics - Men's 400 metre freestyle,2,Shunpei Uto
JPN,Judo at the 1976 Summer Olympics - Men's Half Middleweight (70kg),2,Koji Kuramoto
TUR,Taekwondo at the 2008 Summer Olympics - Women's 57 kg,2,Azize Tanr?kulu
CUB,Boxing at the 1976 Summer Olympics - Light Middleweight,3,Rolando Garbey
NGR,Athletics at the 1996 Summer Olympics - Women's 400 metres,3,Falilat Ogunkoya
GDR,Gymnastics at the 1980 Summer Olympics – Women's Uneven Bars,1,Maxi Gnauck
TCH,Boxing at the 1960 Summer Olympics - Light Welterweight,1,Bohumil N?me?ek
RUS,Cycling at the 1912 Summer Olympics - Men's individual time trial,,Augusts Köpke
CAN,Curling at the 2010 Winter Olympics – Men's tournament,1,Marc Kennedy;John Morris Peake;Adam Enright;Kevin Martin;Ben Hebert
USA,Ice hockey at the 2010 Winter Olympics – Men's tournament,2,Patrick Kane;Jack Johnson;Zach Parise;Ryan Malone;Tim Gleason;Phil Kessel;Joe Pavelski;Dustin Brown;Ryan Callahan;Ryan Suter;Paul Stastny;Tim Thomas;Brooks Orpik;Ryan Miller;Ryan Whitney;Chris Drury;Bobby Ryan;David Backes;Brian Rafalski;Erik Johnson;Jamie Langenbrunner;Jonathan Quick
ITA,Alpine skiing at the 2002 Winter Olympics – Women's Super-G,1,Daniela Ceccarelli
SUI,Alpine skiing at the 2006 Winter Olympics - Women's Downhill,2,Martina Schild
CHN,Volleyball at the 2008 Summer Olympics - Women's volleyball,3,Wei Qiuyue;Xue Ming;Zhang Na;Xu Yunli;Li Juan;Wang Yimei;Yang Hao;Zhou Suhong;Ma Yunwen;Zhao Ruirui;Liu Yanan;Feng Kun
CHN,Volleyball at the 2008 Summer Olympics - Men's beach volleyball,,Wu Penggen;Linyin Xu
AUS,Volleyball at the 1996 Summer Olympics - Women's beach volleyball,3,Kerri Pottharst;Natalie Cook
BRA,Volleyball at the 2008 Summer Olympics - Women's volleyball,1,Valeska Menezes;Welissa Gonzaga;Walewska Oliveira;Marianne Steinbrecher;Sheilla Castro;Jaqueline Carvalho;Thaisa Menezes;Carolina Albuquerque;Fabiana de Oliveira;Paula Pequeno;Hélia Souza;Fabiana Claudino
AUT,Alpine skiing at the 1998 Winter Olympics - Men's Giant Slalom,1,Hermann Maier
USA,Athletics at the 2008 Summer Olympics - Men's decathlon,1,Bryan Clay
DOM,Volleyball at the 2004 Summer Olympics - Women's Volleyball,,Juana Saviñon;Francia Jackson;Yudelkys Bautista;Cosiri Rodriguez;Alexandra Caso;Juana Miguelina Gonzalez;Sofia Mercedes;Milagros Cabral;Annerys Vargas;Prisilla Rivera;Kenya Moreta;Evelyn Carrera
,Weightlifting at the 2008 Summer Olympics - Men's Bantamweight -56 kg,,Wang Shin-Yuan
NOR,Volleyball at the 1996 Summer Olympics - Men's beach volleyball,,Jan Kvalheim;Bjørn Maaseide
ITA,Volleyball at the 2000 Summer Olympics - Women's beach volleyball,,Laura Bruschini;Annamaria Solazzi
