Iocode,event,medal,medalist
URS,Cycling at the 1988 Summer Olympics - Men's Individual Pursuit,1,Gintautas Umaras
AUS,Swimming at the 2000 Summer Olympics - Men's 400 metre freestyle,1,Ian Thorpe
BUL,Wrestling at the 1980 Summer Olympics - Men's Freestyle Featherweight,2,Mikho Doukov
URS,Shooting at the 1988 Summer Olympics - Men's 50 metre rifle; three positions,3,Kirill Ivanov
HUN,Wrestling at the 1968 Summer Olympics - Men's Greco-Roman Heavyweight,1,István Kozma
JPN,Gymnastics at the 1956 Summer Olympics - Men's artistic individual all-around,2,Takashi Ono
URS,Athletics at the 1980 Summer Olympics - Women's Discus Throw,3,Tatyana Lesovaya
USA,Swimming at the 2004 Summer Olympics - Men's 100 metre breaststroke,2,Brendan Hansen
SWE,Shooting at the 1920 Summer Olympics - Men's 600 metre military rifle; prone,1,Hugo Johansson
GBR,Tennis at the 1900 Summer Olympics - Men's Singles,1,Lawrence Doherty
CAN,Diving at the 2000 Summer Olympics - Women's 10 metre platform,3,Anne Montminy
RUS,Weightlifting at the 2004 Summer Olympics - Men's Heavyweight 94 - 105 kg,3,Gleb Pisarevskiy
USA,Swimming at the 2000 Summer Olympics - Women's 400 metre freestyle,1,Brooke Bennett
ISL,Judo at the 1984 Summer Olympics - Men's Half Heavyweight (95kg),3,Bjarni Friðriksson
USA,Swimming at the 1948 Summer Olympics - Men's 200 metre breaststroke,2,Keith Eyre Carter
AUT,Swimming at the 1904 Summer Olympics - Men's 440 yard freestyle,3,Otto Wahle
CIV,Athletics at the 1984 Summer Olympics - Men's 400 metres,2,Gabriel Tiacoh
URS,Wrestling at the 1960 Summer Olympics - Men's Freestyle Featherweight,3,Vladimir Rubashvili
JPN,Volleyball at the 2000 Summer Olympics - Women's beach volleyball,,Rii Seike;Yuki Ishizaka
,Athletics at the 2008 Summer Olympics - Men's high jump,,Rožle Prezelj
CHN,Volleyball at the 1996 Summer Olympics - Women's volleyball,2,Lai Yawen;Liu Xiaoning;Wang Ziling;Zhu Yunying;Li Xan;Wang Lina;Pan Wenli;Yong-Mei Cui;Sun Yue;Qi He;Wang Yi;Wu Yongmei
,Gymnastics at the 2008 Summer Olympics - Men's Horizontal Bar,,Hiroyuki Tomita
,Athletics at the 2008 Summer Olympics - Men's high jump,,Tom Parsons
NOR,Biathlon at the 1998 Winter Olympics - Men's 4 x 7.5 km relay,2,Egil Gjelland;Ole Einar Bjørndalen;Halvard Hanevold;Dag Bjørndalen
BRA,Volleyball at the 2000 Summer Olympics - Men's volleyball,,Nalbert Betancourt;Giba;Alexandre Samuel;Dante Amaral;Maurício Lima;Gustavo Endres;Max Pereira;Douglas Chiarotti;Marcelo Elgarten;Giovane Gavio;Gilmar Teixeira;André Heller
USA,Swimming at the 2000 Summer Olympics - Women's 4x100 metre freestyle relay,1,Dara Torres;Amy Van Dyken;Courtney Shealy;Jenny Thompson
GER,Volleyball at the 2008 Summer Olympics - Men's beach volleyball,,Julius Brink;Christoph Dieckmann
JPN,Volleyball at the 1996 Summer Olympics - Men's beach volleyball,,Shoji Setoyama;Kazuyuki Takao
