2,47961
3,2108
4,58004
6,16116
7,18642
8,42105
9,23878
10,32923
11,37677
12,56987
13,37777
14,20209
14,40288
15,45980
16,38740
17,29152
18,48549
19,40100
20,39671
21,1331
22,39954
24,40594
25,33317
26,26430
27,16797
28,32409
29,40284
30,60108
31,36354
32,9974
33,38740
34,60647
35,4090
36,65185
38,20990
39,59103
40,26068
41,58886
42,32583
43,56372
44,1397
45,55239
46,3930
47,33693
48,62485
50,20398
52,16588
53,38223
54,7493
54,12818
55,32483
56,54684
57,244
58,52719
59,52158
61,45224
62,8319
63,1642
64,23263
65,66630
66,16962
67,55890
70,59623
71,44567
72,652
73,19279
74,29994
75,47672
76,26010
78,36572
79,14915
80,14915
81,8220
82,4639
83,13160
84,37790
85,31341
86,56081
87,45342
88,14196
89,28651
90,66157
91,50879
92,67006
93,32378
94,37485
95,17385
96,40504
97,17248
98,54666
99,16414
100,43773
101,50122
102,39312
103,9467
104,58434
105,55890
106,29449
107,36148
108,47869
109,63883
110,32088
111,32574
112,10402
113,37723
114,32309
115,53744
116,43159
117,3889
118,3889
119,53594
120,53594
121,63845
122,49717
123,15641
124,29259
125,63158
126,43198
127,22099
128,21073
129,16471
130,31671
131,9348
132,43924
133,25499
134,63087
135,67231
136,53993
137,17044
138,15663
139,49529
140,5299
141,7272
142,38349
143,17318
143,26363
143,58316
144,7827
145,16945
146,56577
147,1026
148,41284
149,4947
150,18312
152,60724
153,37219
154,59073
155,44477
156,31161
157,16806
158,1050
159,29860
160,3545
161,38310
162,52389
163,66204
164,10226
165,37357
166,30469
167,25101
168,29544
169,46661
170,58058
171,8195
172,26799
173,28881
175,35836
176,60255
177,32817
178,49859
179,29711
180,12946
181,14712
182,29402
183,27398
184,13596
184,62612
185,41417
186,13696
187,54921
188,15440
189,25201
191,6084
192,61391
193,13722
194,32255
195,972
196,972
197,30801
198,42969
199,9942
200,32250
201,10995
202,28247
203,45398
204,43553
205,31461
206,15624
207,4476
208,21224
209,15397
210,58626
211,17682
212,4239
213,4692
214,1050
