teamID, name
1054,Todd Pearson
1054,Bill Kirby
1072,Shoji Setoyama
1072,Kazuyuki Takao
1082,Matt Targett
1082,Leith Brodie
1082,Andrew Lauterstein
1082,Eamon Sullivan
1082,Ashley Callus
1082,Patrick Murphy
1105,Eric Sato
1105,Nick Becker
1105,Douglas Partie
1105,Daniel Robert Greenbaum
1105,Steve Timmons
1105,Bryan Ivie
1105,Scott Fortune
1105,Bob Ctvrtlik
1105,Brent Hilliard
1105,Carlos Briceno
1105,Jeff Stork
1105,Bob Samuelson
1115,Darius Kasparaitis
1115,Sergei Fedorov
1115,Andrei Trefilov
1115,Sergei Gonchar
1115,Aleksey Morozov
1115,Sergei Krivokrasov
1115,Sergei Nemchinov
1115,Alexei Zhitnik
1115,Igor Kravchuk
1115,Valeri Bure
1115,Oleg Shevtsov
1115,Pavel Bure
1115,Alexei Zhamnov
1115,Alexei Gusarov
1115,Boris Mironov
1115,Andrei Kovalenko
1115,German Titov
1115,Dmitri Mironov
1115,Alexei Yashin
1115,Dmitri Yushkevich
1115,Mikhail Shtalenkov
1115,Valeri Kamensky
1134,Muchammad Nurmufid
1134,Markoji Markoji
1135,Karch Kiraly
1135,Kent Steffes
1167,Francisco Alvarez
1167,Juan Rossell
1228,Roberto Lopes
1228,Franco Neto
1229,Taylor Ritzel
1229,Mary Whipple
1229,Meghan Musnicki
1229,Erin Cafaro
1229,Susan Francia
1229,Caroline Lind
1229,Caryn Davies
1229,Esther Lofgren
1229,Elle Logan
1243,Vladimir Bure
1243,Georgi Kulikov
1243,Igor Grivennikov
1243,Viktor Mazanov
1257,Gary Hall
1257, Jr.
1257,Anthony Ervin
1257,Neil Walker
1257,Jason Lezak
1279,Jan Kvalheim
1279,Bjørn Maaseide
1282,Jodie Henry
1282,Alice Mills
1282,Sarah Ryan
1282,Petria Thomas
1282,Libby Lenton
1293,Hinrich Romeike
1293,Ingrid Klimke
1293,Peter Thomsen
1293,Frank Ostholt
1293,Andreas Dibowski
1297,Inge Dekker
1297,Marleen Veldhuis
1297,Annabel Kosten
1297,Inge de Bruijn
1297,Chantal Groot
1325,Gustaf Adolf Boltenstern
1325, Jr.
1332,Jan Posthuma
1332,Avital Selinger
1332,Peter Blangé
1332,Martin Teffer
1332,Ronald Zoodsma
1332,Marko Klok
1332,Ron Zwerver
1332,Martin van der Horst
1332,Olof van der Meulen
1332,Edwin Benne
1332,Henk-Jan Held
1332,Ron Boudrie
1333,Grégory Mallet
1333,Amaury Leveaux
1333,Jérémy Stravius
1333,Yannick Agnel
1333,Clement Lefert
1335,Eddie Drakich
1335,Marc Dunn
1345,Shirley Babashoff
1345,Lelei Fonoimoana
1345,Camille Wright
1345,Linda Jezek
1345,Wendy Boglioli
1345,Lauri Siering
1355,Dai Jun
1355,Li Yunqi
1355,Hao Yun
1355,Sun Yang
1355,Lu Zhiwu
1355,Jiang Haiqi
1359,Julien Prosser
1359,Lee Zahner
1360,Lucinda Fredericks
1360,Clayton Fredericks
1360,Shane Rose
1360,Megan Jones
1360,Sonja Johnson
1362,Sander Mulder
1362,Michel Everaert
1382,Emanuel Rego
1382,Zé Marco de Melo
1437,Talmo Oliveira
1437,Paulo André Silva
1437,Marcelo Negrão
1437,Andre Felippe Ferreira
1437,Amauri Ribeiro
1437,Douglas Chiarotti
1437,Antônio Carlos Gouveia
1437,Alexandre Samuel
1437,Janelson Carvalho
1437,Jorge Edson Brito
1437,Giovane Gavio
1437,Maurício Lima
1448,Miguel Maia
1448,João Brenha
1465,Eduardo Martínez
1465,Martín Conde
1467,Darcy Marquardt
1467,Rachelle Viinberg
1467,Ashley Brzozowicz
1467,Lesley Thompson
1467,Krista Guloien
1467,Janine Hanson
1467,Lauren Wilkinson
1467,Natalie Mastracci
1467,Andréanne Morin
1520,Carl Henkel
1520,Sinjin Smith
1581,Reid Hamilton
1581,Glenn Hamilton
1618,Andrea Ghiurghi
1618,Nicola Grigolo
1648,Ian Thorpe
1648,Michael Klim
1648,Ashley Callus
1648,Chris Fydler
1655,Etienne De Wilde
1655,Matthew Gilmore
1679,Aino Kaisa Saarinen
1679,Virpi Kuitunen
1679,Pirjo Manninen
1679,Riitta-Liisa Lassila
1708,Michal Palinek
1708,Marek Pakosta
1710,Sytske de Groot
1710,Anne Schellekens
1710,Jacobine Veenhoven
1710,Carline Bouw
1710,Roline Repelaer van Driel
1710,Chantal Achterberg
1710,Annemiek de Haan
1710,Nienke Kingma
1710,Claudia Belderbos
1725,Miriam Gössner
1725,Katrin Zeller
1725,Evi Sachenbacher-Stehle
1725,Claudia Künzel
1733,Colleen Lanne
1733,Natalie Coughlin
1733,Jenny Thompson
1733,Kara Lynn Joyce
1733,Maritza Correia
1733,Amanda Weir
1733,Lindsay Benko
1747,Matt Grevers
1747,Nathan Adrian
1747,Michael Phelps
1747,Jason Lezak
1747,Cullen Jones
1747,Garrett Weber-Gale
1747,Benjamin Wildman-Tobriner
1768,Fredrik Petersson
1768,Tom Englen
1769,Deng Linlin
1769,Jiang Yuyan
1769,Cheng Fei
1769,He Kexin
1769,Li Shanshan
1769,Yang Yilin
1782,Birgit Treiber
1782,Carola Nitschke
1782,Rosemarie Kother-Gabriel
1782,Andrea Pollack
1782,Ulrike Richter
1782,Hannelore Anke
1783,Therese Johaug
1783,Vibeke Skofterud
1783,Marit Bjørgen
1783,Kristin Størmer Steira
1807,Sixto Jimenez
1807,Javier Bosma
1873,Amaury Leveaux
1873,Frédérick Bousquet
1873,Gregory Mallet
1873,Boris Steimetz
1873,Alain Bernard
1873,Fabien Gilot
1879,Janne Niinimaa
1879,Ville Peltonen
1879,Sami Kapanen
1920,Wendy Cook-Hogg
1920,Anne Jardin
1920,Susan Estelle Smith-Sloan
1920,Robin Corsiglia
1950,Klaus Steinbach
1950,Hans-G Vosseler
1950,Werner Lampe
1950,Hans Fassnacht
1963,John Child
1963,Mark Heese
1984,Chellsie Memmel
1984,Shawn Johnson
1984,Nastia Liukin
1984,Alicia Sacramone
1984,Bridget Sloan
1984,Samantha Peszek
2004,Miguel Prieto
2004,José Yuste
2008,Ryan Lochte
2008,Ricky Berens
2008,Charlie Houchin
2008,Davis Tarwater
2008,Conor Dwyer
2008,Michael Phelps
2008,Matthew Mclean
2018,Jean-Philippe Jodard
2018,Christian Penigaud
